Asset,T Ret,T <=2019,T >=2020,T Sharpe,T Mean,T Std,T-P Ret,T-P <=2019,T-P >=2020,T-P Sharpe,T-P Mean,T-P Std,Trades,Start,End
PH,2.08,0.86,1.22,0.33,0.02,0.06,0.31,0.18,0.13,0.21,0.01,0.00,149.00,2013-11-18 00:00:00,2023-11-16 00:00:00
CAT,1.39,0.79,0.60,0.33,0.02,0.05,-0.16,0.08,-0.24,0.22,0.01,-0.01,130.00,2013-11-18 00:00:00,2023-11-16 00:00:00
DG,2.10,0.93,1.17,0.33,0.02,0.08,1.03,-0.19,1.22,0.24,0.02,0.02,136.00,2013-11-18 00:00:00,2023-11-16 00:00:00
CPRT,2.11,0.84,1.27,0.33,0.02,0.07,-0.74,-1.02,0.28,0.08,0.01,0.01,130.00,2013-11-18 00:00:00,2023-11-16 00:00:00
DOW,1.30,0.26,1.04,0.33,0.03,0.10,0.94,0.34,0.61,0.29,0.03,0.01,64.00,2019-03-20 00:00:00,2023-11-16 00:00:00
CRL,2.28,1.04,1.23,0.33,0.02,0.07,0.47,-0.23,0.70,0.21,0.02,0.00,145.00,2013-11-18 00:00:00,2023-11-16 00:00:00
FDX,2.08,0.90,1.18,0.32,0.02,0.06,1.00,0.69,0.31,0.25,0.02,0.00,142.00,2013-11-18 00:00:00,2023-11-16 00:00:00
WYNN,3.29,1.96,1.33,0.32,0.03,0.09,2.72,1.58,1.13,0.30,0.03,0.00,148.00,2013-11-18 00:00:00,2023-11-16 00:00:00
SYY,1.14,0.68,0.45,0.32,0.01,0.04,-0.07,-0.27,0.21,0.24,0.01,-0.02,129.00,2013-11-18 00:00:00,2023-11-16 00:00:00
CARR,0.93,0.00,0.93,0.32,0.03,0.08,-0.84,0.00,-0.84,0.07,0.00,-0.01,50.00,2020-03-19 00:00:00,2023-11-16 00:00:00
ETR,1.51,0.61,0.90,0.32,0.01,0.05,0.72,-0.04,0.76,0.26,0.01,-0.01,148.00,2013-11-18 00:00:00,2023-11-16 00:00:00
EPAM,2.58,0.85,1.73,0.32,0.03,0.09,-0.43,-1.27,0.84,0.18,0.01,-0.01,138.00,2013-11-18 00:00:00,2023-11-16 00:00:00
HES,2.55,1.54,1.01,0.32,0.03,0.08,1.04,1.40,-0.36,0.25,0.02,-0.01,145.00,2013-11-18 00:00:00,2023-11-16 00:00:00
SNPS,1.67,0.96,0.71,0.32,0.02,0.06,-1.40,-0.50,-0.90,0.10,0.01,0.00,134.00,2013-11-18 00:00:00,2023-11-16 00:00:00
ALK,2.87,1.58,1.29,0.32,0.03,0.09,2.13,0.74,1.39,0.28,0.03,0.01,142.00,2013-11-18 00:00:00,2023-11-16 00:00:00
