Asset,T Ret,T <=2019,T >=2020,T Sharpe,T Mean,T Std,T-P Ret,T-P <=2019,T-P >=2020,T-P Sharpe,T-P Mean,T-P Std,Trades,Start,End
CF,0.87,0.31,0.56,0.09,0.01,0.08,-0.59,-0.12,-0.47,0.02,0.00,0.00,154.00,2013-11-18 00:00:00,2023-11-16 00:00:00
GNRC,0.88,0.17,0.72,0.09,0.01,0.09,-0.87,-0.82,-0.05,0.01,0.00,0.01,148.00,2013-11-18 00:00:00,2023-11-16 00:00:00
FI,0.44,0.12,0.32,0.09,0.00,0.04,-1.40,-1.43,0.03,-0.05,0.00,-0.01,160.00,2013-11-18 00:00:00,2023-11-16 00:00:00
MCK,0.49,0.62,-0.13,0.09,0.00,0.05,-0.93,0.58,-1.51,-0.01,0.00,0.00,149.00,2013-11-18 00:00:00,2023-11-16 00:00:00
HLT,0.53,0.52,0.01,0.08,0.00,0.05,-1.23,-0.56,-0.67,-0.04,0.00,0.00,158.00,2013-12-12 00:00:00,2023-11-15 00:00:00
LVS,0.60,0.54,0.06,0.08,0.01,0.07,0.19,0.28,-0.09,0.06,0.00,-0.01,154.00,2013-11-18 00:00:00,2023-11-16 00:00:00
MTB,0.48,0.61,-0.14,0.08,0.00,0.05,-0.15,0.17,-0.32,0.04,0.00,-0.01,156.00,2013-11-18 00:00:00,2023-11-16 00:00:00
UDR,0.31,0.03,0.28,0.07,0.00,0.04,-0.38,-0.65,0.27,0.02,0.00,-0.01,152.00,2013-11-18 00:00:00,2023-11-16 00:00:00
USB,0.33,0.25,0.07,0.06,0.00,0.05,-0.10,-0.16,0.06,0.03,0.00,-0.01,163.00,2013-11-18 00:00:00,2023-11-16 00:00:00
MRK,0.23,0.23,0.00,0.05,0.00,0.04,-0.84,-0.45,-0.39,-0.03,0.00,0.00,150.00,2013-11-18 00:00:00,2023-11-16 00:00:00
MDT,0.21,0.28,-0.07,0.05,0.00,0.04,-0.31,-0.41,0.10,0.01,0.00,0.00,154.00,2013-11-18 00:00:00,2023-11-15 00:00:00
HIG,0.16,-0.15,0.30,0.03,0.00,0.04,-1.05,-0.73,-0.32,-0.04,0.00,-0.02,153.00,2013-11-18 00:00:00,2023-11-16 00:00:00
FIS,0.13,0.11,0.02,0.03,0.00,0.04,-0.36,-0.95,0.59,0.00,0.00,-0.02,150.00,2013-11-18 00:00:00,2023-11-16 00:00:00
SJM,0.17,0.65,-0.48,0.03,0.00,0.05,-0.13,0.65,-0.78,0.01,0.00,0.00,149.00,2013-11-18 00:00:00,2023-11-16 00:00:00
GIS,0.07,0.22,-0.15,0.01,0.00,0.04,-0.43,0.14,-0.58,-0.03,0.00,0.00,146.00,2013-11-18 00:00:00,2023-11-16 00:00:00
OTIS,0.02,0.00,0.02,0.01,0.00,0.04,-0.87,0.00,-0.87,-0.16,-0.01,-0.01,52.00,2020-03-19 00:00:00,2023-11-16 00:00:00
TMUS,0.01,0.06,-0.06,0.00,0.00,0.04,-2.10,-1.24,-0.86,-0.14,-0.01,-0.01,161.00,2013-11-18 00:00:00,2023-11-16 00:00:00
FE,-0.12,0.03,-0.15,-0.02,0.00,0.04,-0.58,-0.32,-0.26,-0.06,0.00,-0.01,160.00,2013-11-18 00:00:00,2023-11-16 00:00:00
HST,-0.20,0.50,-0.70,-0.03,0.00,0.06,-0.71,0.38,-1.09,-0.05,0.00,-0.01,160.00,2013-11-18 00:00:00,2023-11-16 00:00:00
VRTX,-0.26,0.27,-0.53,-0.04,0.00,0.06,-2.65,-1.45,-1.20,-0.15,-0.01,-0.01,154.00,2013-11-18 00:00:00,2023-11-16 00:00:00
VLTO,-0.11,0.00,-0.11,-1.53,-0.05,0.04,-0.04,0.00,-0.04,-1.34,-0.04,-0.02,2.00,2023-10-04 00:00:00,2023-11-16 00:00:00
PEP,0.00,0.00,0.00,,,,0.00,0.00,0.00,,,,0.00,2023-11-16 00:00:00,2023-11-16 00:00:00
