Asset,SumT:All,SumT:<=2019,SumT:>=2020,SumT:Longs,SumT:Shorts,SumT-P:All,SumT-P:<=2019,SumT-P:>=2020,SumT-P:Longs,SumT-P:Shorts,SharpeT:All,SharpeT:<=2019,SharpeT:>=2020,SharpeT:Longs,SharpeT:Shorts,SharpeT-P:All,SharpeT-P:<=2019,SharpeT-P:>=2020,SharpeT-P:Longs,SharpeT-P:Shorts,%Win:All,%Win:<=2019,%Win:>=2020,%Win:Longs,%Win:Shorts,Mean:All,Mean:<=2019,Mean:>=2020,Mean:Longs,Mean:Shorts,Std:All,Std:<=2019,Std:>=2020,Std:Longs,Std:Shorts,No:All,No:<=2019,No:>=2020,No:Longs,No:Shorts,Stops,Start,End
MOS,1.84,0.75,1.10,0.81,1.03,1.18,1.27,-0.09,1.05,1.11,0.08,0.07,0.09,0.07,0.09,0.07,0.09,0.05,0.09,0.09,0.52,0.52,0.52,0.51,0.53,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.03,0.02,92.00,61.00,32.00,50.00,42.00,0.00,11/18/13,11/16/23
DUK,0.84,0.21,0.63,0.62,0.22,0.33,-0.03,0.35,0.50,-0.05,0.06,0.04,0.09,0.10,0.03,0.05,0.02,0.07,0.08,-0.01,0.51,0.50,0.53,0.54,0.47,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.01,110.00,68.00,42.00,61.00,49.00,0.00,11/18/13,11/16/23
HAS,1.99,1.14,0.85,0.79,1.20,1.59,0.33,1.26,0.90,1.49,0.10,0.12,0.09,0.09,0.11,0.09,0.09,0.11,0.11,0.14,0.52,0.55,0.48,0.54,0.51,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02,101.00,60.00,41.00,57.00,44.00,0.00,11/18/13,11/16/23
BIIB,0.91,0.20,0.71,0.09,0.82,0.08,-0.42,0.51,1.09,-0.30,0.04,0.01,0.09,0.01,0.06,0.03,0.00,0.08,0.11,0.00,0.48,0.46,0.52,0.48,0.49,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.02,123.00,78.00,45.00,60.00,63.00,0.00,11/18/13,11/16/23
DE,1.03,0.37,0.67,0.67,0.36,-0.92,-0.51,-0.41,0.62,-0.21,0.06,0.04,0.09,0.09,0.04,0.02,0.01,0.04,0.08,-0.02,0.50,0.48,0.53,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,94.00,59.00,36.00,47.00,47.00,0.00,11/18/13,11/16/23
BAC,1.67,0.81,0.86,1.03,0.64,0.50,-0.16,0.66,0.65,0.37,0.09,0.10,0.09,0.10,0.08,0.07,0.06,0.08,0.07,0.05,0.51,0.51,0.51,0.52,0.48,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,95.00,57.00,39.00,50.00,45.00,0.00,11/18/13,11/16/23
PFG,1.48,0.79,0.69,1.21,0.27,0.53,0.59,-0.06,0.82,-0.28,0.09,0.09,0.09,0.12,0.04,0.07,0.08,0.06,0.08,-0.03,0.51,0.51,0.52,0.53,0.47,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02,103.00,59.00,44.00,54.00,49.00,0.00,11/18/13,11/16/23
NUE,1.56,0.68,0.87,1.02,0.54,-0.12,0.47,-0.59,1.01,0.04,0.07,0.06,0.09,0.09,0.05,0.04,0.05,0.03,0.09,0.01,0.50,0.49,0.51,0.49,0.50,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.02,110.00,72.00,38.00,59.00,51.00,0.00,11/18/13,11/16/23
VTRS,1.39,0.63,0.75,0.24,1.15,2.19,1.02,1.16,1.28,1.31,0.07,0.05,0.09,0.02,0.10,0.08,0.06,0.10,0.11,0.12,0.49,0.51,0.47,0.48,0.51,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.02,102.00,62.00,40.00,52.00,50.00,0.00,11/18/13,11/16/23
DLTR,1.01,0.46,0.55,1.14,-0.13,-0.15,-0.22,0.06,0.87,-1.04,0.07,0.06,0.09,0.13,-0.02,0.04,0.03,0.07,0.10,-0.14,0.51,0.51,0.51,0.54,0.47,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02,90.00,60.00,30.00,49.00,41.00,0.00,11/18/13,11/16/23
EA,1.24,0.68,0.56,0.92,0.32,-0.92,-1.10,0.18,0.94,-0.20,0.06,0.05,0.09,0.10,0.03,0.02,0.00,0.06,0.10,-0.02,0.51,0.50,0.52,0.51,0.49,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.01,0.02,108.00,65.00,44.00,57.00,51.00,0.00,11/18/13,11/16/23
MET,0.97,0.17,0.80,0.56,0.41,0.17,-0.01,0.18,0.80,-0.02,0.05,0.02,0.09,0.06,0.05,0.04,0.01,0.06,0.08,0.00,0.49,0.47,0.51,0.49,0.49,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,104.00,65.00,40.00,59.00,45.00,0.00,11/18/13,11/16/23
CINF,1.40,0.65,0.76,0.97,0.44,0.29,-0.11,0.40,0.75,-0.13,0.08,0.10,0.09,0.12,0.05,0.06,0.06,0.07,0.09,0.00,0.50,0.50,0.50,0.53,0.46,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,103.00,62.00,42.00,56.00,47.00,0.00,11/18/13,11/16/23
AWK,1.13,0.46,0.67,1.18,-0.05,-0.25,-0.62,0.36,0.71,-0.56,0.08,0.07,0.09,0.15,-0.01,0.04,0.01,0.07,0.10,-0.08,0.52,0.52,0.52,0.54,0.47,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,105.00,68.00,37.00,67.00,38.00,0.00,11/18/13,11/16/23
KMB,0.90,0.42,0.48,0.60,0.30,0.50,0.12,0.38,0.46,0.04,0.07,0.06,0.09,0.11,0.04,0.06,0.05,0.08,0.08,0.01,0.52,0.50,0.54,0.51,0.53,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,100.00,67.00,34.00,51.00,49.00,0.00,11/18/13,11/16/23
INTU,1.50,0.66,0.85,1.32,0.18,-0.99,-0.75,-0.24,1.20,-0.61,0.08,0.08,0.09,0.14,0.02,0.03,0.01,0.04,0.12,-0.06,0.51,0.51,0.50,0.54,0.43,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.01,0.03,106.00,64.00,43.00,62.00,44.00,0.00,11/18/13,11/16/23
STE,1.21,0.65,0.56,0.94,0.27,-0.62,-0.67,0.05,1.01,0.01,0.08,0.08,0.09,0.11,0.04,0.04,0.02,0.06,0.12,0.00,0.52,0.52,0.51,0.54,0.50,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,102.00,65.00,37.00,60.00,42.00,0.00,11/18/13,11/16/23
MPWR,1.95,0.90,1.04,2.02,-0.07,-1.70,-1.03,-0.66,1.05,-1.32,0.08,0.09,0.09,0.16,-0.01,0.03,0.02,0.03,0.09,-0.11,0.54,0.53,0.54,0.57,0.48,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.03,99.00,59.00,40.00,56.00,43.00,0.00,11/18/13,11/16/23
PKG,1.48,0.82,0.66,1.29,0.19,0.12,0.10,0.02,0.79,-0.42,0.08,0.09,0.08,0.13,0.03,0.05,0.06,0.05,0.08,-0.05,0.51,0.51,0.50,0.53,0.46,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,102.00,61.00,41.00,50.00,52.00,0.00,11/18/13,11/16/23
KVUE,0.11,0.00,0.11,-0.03,0.14,0.36,0.00,0.36,0.00,0.17,0.08,0.00,0.08,-0.36,0.12,0.20,0.00,0.20,0.00,0.14,0.56,0.00,0.56,0.25,0.59,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.01,0.02,6.00,0.00,6.00,1.00,5.00,0.00,05/04/23,11/16/23
SHW,1.30,0.73,0.57,0.98,0.32,-0.51,-0.52,0.01,0.77,-0.02,0.10,0.12,0.08,0.15,0.05,0.05,0.06,0.06,0.12,0.00,0.52,0.51,0.54,0.54,0.50,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,90.00,53.00,37.00,46.00,44.00,0.00,11/18/13,11/16/23
PM,1.70,1.25,0.45,0.94,0.76,1.34,1.30,0.04,0.56,0.58,0.12,0.15,0.08,0.15,0.11,0.12,0.15,0.06,0.09,0.09,0.53,0.54,0.53,0.56,0.50,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.02,104.00,66.00,38.00,54.00,50.00,0.00,11/18/13,11/16/23
DFS,1.59,0.68,0.91,1.27,0.32,0.39,0.12,0.27,1.13,-0.08,0.09,0.11,0.08,0.11,0.05,0.07,0.08,0.06,0.10,-0.01,0.50,0.49,0.50,0.51,0.47,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.02,97.00,54.00,43.00,53.00,44.00,0.00,11/18/13,11/16/23
PCAR,1.37,0.74,0.64,1.47,-0.09,0.13,0.30,-0.17,0.59,-1.09,0.09,0.09,0.08,0.17,-0.01,0.06,0.07,0.04,0.07,-0.14,0.49,0.47,0.52,0.53,0.45,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,103.00,62.00,42.00,48.00,55.00,0.00,11/18/13,11/16/23
WMT,1.49,0.99,0.51,0.91,0.58,0.58,0.51,0.06,0.55,0.40,0.12,0.17,0.08,0.15,0.09,0.09,0.14,0.05,0.09,0.07,0.53,0.54,0.52,0.57,0.49,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.01,96.00,52.00,44.00,48.00,48.00,0.00,11/18/13,11/16/23
EXPE,1.52,0.38,1.14,1.43,0.09,-0.10,-0.50,0.40,1.07,-0.84,0.06,0.04,0.08,0.11,0.01,0.03,0.01,0.06,0.08,-0.06,0.49,0.49,0.50,0.51,0.47,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.04,0.02,0.03,107.00,69.00,38.00,57.00,50.00,0.00,11/18/13,11/16/23
DVA,1.88,1.16,0.72,1.03,0.85,0.92,0.73,0.19,1.16,0.71,0.10,0.11,0.08,0.11,0.08,0.08,0.09,0.06,0.12,0.07,0.50,0.51,0.48,0.53,0.47,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.02,109.00,67.00,42.00,56.00,53.00,0.00,11/18/13,11/16/23
ROST,1.71,0.88,0.82,0.90,0.81,0.12,-0.30,0.43,0.78,0.72,0.09,0.10,0.08,0.09,0.08,0.05,0.05,0.07,0.08,0.07,0.51,0.50,0.52,0.51,0.51,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,99.00,58.00,42.00,57.00,42.00,0.00,11/18/13,11/16/23
GLW,1.42,0.84,0.58,1.08,0.34,0.46,0.20,0.26,0.77,-0.21,0.09,0.10,0.08,0.12,0.05,0.07,0.08,0.07,0.09,-0.02,0.53,0.53,0.52,0.53,0.52,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,92.00,53.00,39.00,46.00,46.00,0.00,11/18/13,11/16/23
FICO,2.18,1.38,0.80,2.07,0.11,-1.29,-0.70,-0.59,1.31,-0.49,0.11,0.14,0.08,0.16,0.02,0.04,0.06,0.03,0.10,-0.06,0.53,0.54,0.53,0.55,0.47,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02,104.00,61.00,43.00,70.00,34.00,0.00,11/18/13,11/16/23
DAL,1.38,0.43,0.95,1.35,0.03,0.34,-0.54,0.89,1.07,-0.85,0.06,0.05,0.08,0.12,0.00,0.05,0.01,0.08,0.10,-0.08,0.50,0.50,0.51,0.53,0.48,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.02,99.00,51.00,48.00,51.00,48.00,0.00,11/18/13,11/16/23
GOOG,0.89,0.21,0.67,1.11,-0.23,-1.18,-0.90,-0.27,0.88,-1.19,0.05,0.02,0.08,0.10,-0.04,0.00,-0.03,0.04,0.08,-0.17,0.50,0.48,0.53,0.52,0.45,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02,122.00,77.00,45.00,72.00,50.00,0.00,11/18/13,11/16/23
TRGP,2.93,2.05,0.88,1.66,1.26,1.22,2.09,-0.87,0.88,1.51,0.12,0.14,0.08,0.12,0.11,0.10,0.14,0.04,0.07,0.13,0.52,0.52,0.51,0.52,0.51,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.02,0.02,0.03,94.00,55.00,40.00,52.00,42.00,0.00,11/18/13,11/16/23
ABT,0.97,0.48,0.49,0.73,0.23,-0.29,-0.42,0.12,0.63,-0.24,0.07,0.07,0.08,0.11,0.04,0.04,0.03,0.06,0.10,-0.03,0.51,0.51,0.51,0.53,0.47,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,107.00,67.00,40.00,58.00,49.00,0.00,11/18/13,11/16/23
AMP,1.63,0.94,0.69,1.54,0.10,-0.13,0.34,-0.47,0.78,-0.61,0.09,0.09,0.08,0.15,0.01,0.05,0.07,0.04,0.08,-0.07,0.50,0.48,0.53,0.50,0.49,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.02,102.00,62.00,40.00,52.00,50.00,0.00,11/18/13,11/16/23
MCD,1.14,0.67,0.47,0.66,0.48,-0.13,-0.07,-0.06,0.48,0.54,0.10,0.13,0.08,0.11,0.10,0.06,0.09,0.05,0.08,0.11,0.53,0.53,0.52,0.55,0.48,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.02,91.00,55.00,37.00,57.00,34.00,0.00,11/18/13,11/16/23
PRU,1.65,1.05,0.60,1.01,0.64,0.99,0.94,0.06,0.87,0.59,0.09,0.10,0.08,0.10,0.08,0.08,0.10,0.06,0.09,0.07,0.51,0.51,0.50,0.52,0.48,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02,101.00,63.00,38.00,54.00,47.00,0.00,11/18/13,11/16/23
MRO,3.03,2.02,1.00,1.90,1.13,1.97,2.45,-0.48,1.37,1.02,0.11,0.13,0.08,0.13,0.08,0.09,0.14,0.04,0.09,0.08,0.49,0.51,0.47,0.50,0.49,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.03,0.03,0.03,101.00,59.00,43.00,53.00,48.00,0.00,11/18/13,11/16/23
GILD,0.47,0.00,0.47,0.51,-0.04,0.02,-0.02,0.04,0.78,-0.79,0.03,0.00,0.08,0.07,-0.01,0.02,0.00,0.05,0.10,-0.10,0.49,0.47,0.51,0.50,0.47,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.01,103.00,66.00,38.00,46.00,57.00,0.00,11/18/13,11/16/23
TTWO,1.66,0.99,0.67,1.27,0.39,-1.11,-1.28,0.17,1.37,-0.23,0.08,0.08,0.08,0.11,0.04,0.03,0.01,0.06,0.11,-0.02,0.51,0.51,0.52,0.54,0.47,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.02,113.00,65.00,48.00,67.00,46.00,0.00,11/18/13,11/16/23
BX,1.69,0.82,0.87,1.72,-0.03,-0.35,-0.07,-0.27,0.59,-0.75,0.08,0.10,0.08,0.16,0.00,0.05,0.07,0.04,0.06,-0.09,0.53,0.52,0.54,0.53,0.52,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.03,97.00,55.00,43.00,57.00,40.00,0.00,11/18/13,11/16/23
UPS,0.99,0.50,0.49,0.41,0.58,0.28,0.33,-0.05,0.69,0.47,0.08,0.09,0.08,0.07,0.10,0.06,0.08,0.05,0.11,0.08,0.52,0.52,0.53,0.54,0.50,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.01,98.00,59.00,39.00,51.00,47.00,0.00,11/18/13,11/16/23
ACGL,1.26,0.54,0.72,1.37,-0.11,-0.53,-0.33,-0.21,0.83,-0.71,0.08,0.10,0.08,0.15,-0.02,0.04,0.05,0.04,0.09,-0.10,0.52,0.53,0.52,0.56,0.45,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,98.00,53.00,46.00,53.00,45.00,0.00,11/18/13,11/16/23
ROP,1.36,0.87,0.49,1.23,0.14,-0.31,-0.25,-0.07,0.68,-0.29,0.10,0.12,0.08,0.16,0.02,0.05,0.06,0.05,0.10,-0.04,0.52,0.51,0.54,0.54,0.49,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.02,100.00,64.00,36.00,53.00,47.00,0.00,11/18/13,11/16/23
ZBH,1.40,0.90,0.49,0.96,0.44,0.79,0.28,0.51,0.67,0.13,0.09,0.09,0.08,0.12,0.06,0.07,0.06,0.08,0.08,0.02,0.51,0.50,0.53,0.52,0.49,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,106.00,66.00,40.00,54.00,52.00,0.00,11/18/13,11/16/23
D,0.59,0.09,0.50,0.31,0.28,0.63,-0.12,0.74,0.50,-0.10,0.05,0.02,0.08,0.05,0.05,0.05,0.01,0.09,0.08,0.00,0.50,0.49,0.50,0.51,0.47,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,104.00,62.00,42.00,59.00,45.00,0.00,11/18/13,11/16/23
AVGO,1.97,1.20,0.77,2.08,-0.11,-1.74,-1.00,-0.75,1.21,-1.13,0.09,0.10,0.08,0.15,-0.01,0.02,0.03,0.01,0.09,-0.13,0.51,0.53,0.49,0.54,0.45,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.02,115.00,66.00,49.00,65.00,50.00,0.00,11/18/13,11/16/23
TDG,1.51,0.95,0.56,1.45,0.07,-1.01,-0.61,-0.41,0.79,-0.64,0.09,0.10,0.08,0.14,0.01,0.04,0.04,0.04,0.08,-0.09,0.52,0.51,0.52,0.55,0.44,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,101.00,61.00,40.00,57.00,44.00,0.00,11/18/13,11/16/23
CNP,1.09,0.58,0.51,0.49,0.60,0.57,0.44,0.14,0.63,0.53,0.07,0.08,0.08,0.06,0.09,0.06,0.07,0.06,0.08,0.08,0.52,0.52,0.53,0.54,0.50,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.01,112.00,71.00,41.00,59.00,53.00,0.00,11/18/13,11/16/23
FDS,1.13,0.59,0.54,1.09,0.04,-0.60,-0.38,-0.23,0.79,-0.37,0.08,0.10,0.08,0.14,0.01,0.04,0.05,0.04,0.10,-0.07,0.53,0.53,0.53,0.57,0.41,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,92.00,48.00,44.00,58.00,34.00,0.00,11/18/13,11/16/23
OKE,1.65,1.06,0.59,1.11,0.55,0.32,0.48,-0.16,0.74,-0.09,0.09,0.09,0.08,0.11,0.06,0.07,0.08,0.05,0.08,0.00,0.52,0.53,0.50,0.53,0.49,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.02,98.00,60.00,39.00,52.00,46.00,0.00,11/18/13,11/16/23
FITB,1.48,0.80,0.68,1.10,0.37,0.49,0.29,0.20,0.88,-0.06,0.08,0.09,0.08,0.09,0.06,0.06,0.07,0.06,0.07,0.00,0.51,0.53,0.49,0.52,0.50,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02,98.00,60.00,38.00,56.00,42.00,0.00,11/18/13,11/16/23
PAYX,1.05,0.53,0.52,0.72,0.32,-0.26,-0.16,-0.10,0.58,-0.02,0.08,0.09,0.08,0.10,0.05,0.05,0.05,0.04,0.08,0.00,0.52,0.50,0.54,0.54,0.48,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,97.00,57.00,40.00,56.00,41.00,0.00,11/18/13,11/16/23
SOL-USD,1.89,0.00,1.89,1.17,0.72,-5.99,0.00,-5.99,1.02,-0.32,0.08,0.00,0.08,0.12,0.05,-0.01,0.00,-0.01,0.11,-0.01,0.51,0.00,0.51,0.49,0.52,0.00,0.00,0.00,0.01,0.00,0.06,0.00,0.06,0.06,0.06,41.00,0.00,41.00,19.00,22.00,0.00,04/10/20,11/15/23
FRT,1.00,0.44,0.56,0.48,0.52,0.69,0.28,0.41,0.60,0.21,0.06,0.06,0.08,0.07,0.06,0.06,0.05,0.07,0.09,0.03,0.51,0.50,0.52,0.52,0.49,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,113.00,72.00,41.00,58.00,55.00,0.00,11/18/13,11/16/23
PCG,2.98,2.42,0.56,0.57,2.41,2.06,2.40,-0.34,0.67,2.51,0.07,0.08,0.08,0.06,0.09,0.06,0.08,0.04,0.07,0.10,0.49,0.48,0.51,0.52,0.47,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.02,0.02,0.06,104.00,64.00,40.00,55.00,49.00,0.00,11/18/13,11/16/23
TROW,1.54,0.83,0.70,1.38,0.16,0.88,0.37,0.51,0.69,-0.46,0.09,0.11,0.08,0.14,0.02,0.07,0.09,0.07,0.07,-0.05,0.51,0.50,0.53,0.54,0.47,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02,106.00,67.00,39.00,54.00,52.00,0.00,11/18/13,11/16/23
AZO,1.70,1.07,0.63,1.56,0.14,-0.37,-0.02,-0.35,0.74,-0.32,0.10,0.13,0.08,0.17,0.02,0.05,0.08,0.02,0.09,-0.04,0.53,0.53,0.54,0.56,0.47,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,86.00,46.00,40.00,47.00,39.00,0.00,11/18/13,11/16/23
C,1.53,0.74,0.79,1.07,0.46,1.11,0.24,0.88,0.63,-0.13,0.08,0.09,0.08,0.11,0.05,0.07,0.07,0.08,0.07,-0.01,0.52,0.52,0.53,0.54,0.50,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,109.00,71.00,39.00,55.00,54.00,0.00,11/18/13,11/16/23
LEN,1.83,1.04,0.79,1.20,0.64,-0.13,0.38,-0.50,0.69,0.33,0.08,0.09,0.07,0.11,0.06,0.04,0.06,0.03,0.06,0.03,0.50,0.49,0.51,0.50,0.49,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.03,98.00,65.00,33.00,50.00,48.00,0.00,11/18/13,11/16/23
HBAN,1.59,0.87,0.72,0.73,0.86,0.78,0.31,0.48,0.61,0.73,0.08,0.08,0.07,0.07,0.08,0.06,0.06,0.07,0.06,0.07,0.48,0.47,0.49,0.48,0.46,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.01,0.02,108.00,66.00,42.00,59.00,49.00,0.00,11/18/13,11/16/23
ANSS,1.67,1.09,0.57,1.34,0.33,-0.02,-0.17,0.14,0.88,0.09,0.10,0.12,0.07,0.12,0.06,0.06,0.06,0.06,0.08,0.02,0.52,0.53,0.51,0.54,0.48,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,100.00,60.00,41.00,67.00,33.00,0.00,11/18/13,11/16/23
WBD,1.05,0.11,0.94,0.52,0.53,1.61,0.12,1.50,1.08,0.01,0.04,0.01,0.07,0.05,0.03,0.05,0.01,0.09,0.10,0.00,0.48,0.47,0.51,0.47,0.50,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.03,109.00,68.00,42.00,51.00,58.00,0.00,11/18/13,11/16/23
HRL,0.70,0.35,0.36,0.43,0.28,0.06,-0.42,0.48,0.58,0.09,0.06,0.06,0.07,0.07,0.06,0.05,0.02,0.08,0.09,0.02,0.50,0.49,0.51,0.51,0.48,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,100.00,65.00,35.00,57.00,43.00,0.00,11/18/13,11/16/23
EVRG,1.05,0.57,0.48,1.02,0.03,0.28,-0.12,0.40,0.62,-0.29,0.08,0.09,0.07,0.14,0.01,0.06,0.06,0.07,0.09,-0.05,0.52,0.53,0.52,0.55,0.48,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,91.00,56.00,36.00,51.00,40.00,0.00,11/18/13,11/16/23
KDP,1.18,0.71,0.47,0.96,0.22,0.17,0.00,0.17,0.51,-0.15,0.09,0.11,0.07,0.14,0.04,0.07,0.09,0.05,0.08,-0.01,0.53,0.52,0.54,0.57,0.47,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,105.00,60.00,45.00,59.00,46.00,0.00,11/18/13,11/16/23
SYF,1.73,0.66,1.07,1.68,0.05,0.81,0.11,0.70,0.82,-0.82,0.07,0.07,0.07,0.14,0.00,0.05,0.05,0.06,0.07,-0.06,0.50,0.49,0.51,0.52,0.48,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.03,102.00,59.00,44.00,48.00,54.00,0.00,07/31/14,11/16/23
STT,1.56,0.83,0.73,0.92,0.64,1.01,0.62,0.40,0.89,0.29,0.07,0.08,0.07,0.10,0.06,0.06,0.07,0.06,0.09,0.03,0.50,0.47,0.53,0.51,0.48,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.01,0.02,119.00,70.00,49.00,59.00,60.00,0.00,11/18/13,11/16/23
PEAK,1.39,0.94,0.45,0.79,0.60,1.64,0.92,0.72,0.78,0.58,0.09,0.10,0.07,0.09,0.08,0.09,0.09,0.08,0.09,0.08,0.51,0.52,0.49,0.53,0.47,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,101.00,67.00,34.00,61.00,40.00,0.00,11/18/13,11/16/23
FOXA,0.87,0.17,0.70,0.45,0.42,0.82,0.22,0.60,0.51,0.37,0.08,0.17,0.07,0.11,0.06,0.08,0.18,0.07,0.12,0.06,0.50,0.51,0.50,0.50,0.51,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02,48.00,7.00,42.00,23.00,25.00,0.00,03/12/19,11/16/23
IFF,1.39,0.80,0.60,0.74,0.65,1.14,0.35,0.79,0.73,0.40,0.08,0.09,0.07,0.09,0.08,0.08,0.08,0.08,0.09,0.05,0.51,0.50,0.51,0.52,0.49,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,102.00,63.00,39.00,56.00,46.00,0.00,11/18/13,11/16/23
UNP,1.10,0.59,0.52,1.09,0.01,-0.25,-0.33,0.08,0.74,-0.73,0.07,0.08,0.07,0.13,0.00,0.04,0.04,0.05,0.09,-0.10,0.50,0.49,0.50,0.51,0.46,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,102.00,56.00,47.00,58.00,44.00,0.00,11/18/13,11/16/23
GPN,1.54,0.88,0.66,1.57,-0.03,-0.22,-1.02,0.80,1.16,-1.10,0.08,0.10,0.07,0.16,0.00,0.05,0.02,0.08,0.12,-0.11,0.53,0.53,0.52,0.57,0.45,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02,106.00,61.00,45.00,54.00,52.00,0.00,11/18/13,11/16/23
XRAY,1.20,0.71,0.49,1.00,0.19,1.27,0.44,0.83,1.13,-0.23,0.08,0.08,0.07,0.12,0.03,0.08,0.07,0.09,0.13,-0.03,0.54,0.53,0.55,0.57,0.49,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,110.00,68.00,42.00,60.00,50.00,0.00,11/18/13,11/16/23
