number,ticker,name,free_code,premium_code
429,TROW,T. Rowe Price Group,WIKI/TROW,EOD/TROW
430,TGT,Target Corp.,WIKI/TGT,EOD/TGT
431,TEL,TE Connectivity Ltd.,WIKI/TEL,EOD/TEL
432,TE,TECO Energy,WIKI/TE,EOD/TE
433,TGNA,Tegna,WIKI/TGNA,EOD/TGNA
434,THC,Tenet Healthcare Corp.,WIKI/THC,EOD/THC
435,TDC,Teradata Corp.,WIKI/TDC,EOD/TDC
436,TSO,Tesoro Petroleum Co.,WIKI/TSO,EOD/TSO
437,TXN,Texas Instruments,WIKI/TXN,EOD/TXN
438,TXT,Textron Inc.,WIKI/TXT,EOD/TXT
439,HSY,The Hershey Company,WIKI/HSY,EOD/HSY
440,TRV,The Travelers Companies Inc.,WIKI/TRV,EOD/TRV
441,TMO,Thermo Fisher Scientific,WIKI/TMO,EOD/TMO
442,TIF,Tiffany & Co.,WIKI/TIF,EOD/TIF
443,TWX,Time Warner Inc.,WIKI/TWX,EOD/TWX
444,TWC,Time Warner Cable Inc.,WIKI/TWC,EOD/TWC
445,TJX,TJX Companies Inc.,WIKI/TJX,EOD/TJX
446,TMK,Torchmark Corp.,WIKI/TMK,EOD/TMK
447,TSS,Total System Services,WIKI/TSS,EOD/TSS
448,TSCO,Tractor Supply Company,WIKI/TSCO,EOD/TSCO
449,RIG,Transocean,WIKI/RIG,EOD/RIG
450,TRIP,TripAdvisor,WIKI/TRIP,EOD/TRIP
451,FOXA,Twenty-First Century Fox Class A,WIKI/FOXA,EOD/FOXA
452,FOX,Twenty-First Century Fox Class B,WIKI/FOX,EOD/FOX
453,TSN,Tyson Foods,WIKI/TSN,EOD/TSN
454,TYC,Tyco International,WIKI/TYC,EOD/TYC
455,USB,U.S. Bancorp,WIKI/USB,EOD/USB
456,UA,Under Armour,WIKI/UA,EOD/UA
457,UNP,Union Pacific,WIKI/UNP,EOD/UNP
458,UAL,United Continental Holdings,WIKI/UAL,EOD/UAL
459,UNH,United Health Group Inc.,WIKI/UNH,EOD/UNH
460,UPS,United Parcel Service,WIKI/UPS,EOD/UPS
461,URI,United Rentals,WIKI/URI,EOD/URI
462,UTX,United Technologies,WIKI/UTX,EOD/UTX
463,UHS,Universal Health Services,WIKI/UHS,EOD/UHS
464,UNM,Unum Group,WIKI/UNM,EOD/UNM
465,URBN,Urban Outfitters,WIKI/URBN,EOD/URBN
466,VFC,V.F. Corp.,WIKI/VFC,EOD/VFC
467,VLO,Valero Energy,WIKI/VLO,EOD/VLO
468,VAR,Varian Medical Systems,WIKI/VAR,EOD/VAR
469,VTR,Ventas Inc,WIKI/VTR,EOD/VTR
470,VRSN,Verisign Inc.,WIKI/VRSN,EOD/VRSN
471,VRSK,Verisk Analytics,WIKI/VRSK,EOD/VRSK
472,VZ,Verizon Communications,WIKI/VZ,EOD/VZ
473,VRTX,Vertex Pharmaceuticals Inc,WIKI/VRTX,EOD/VRTX
474,VIAB,Viacom Inc.,WIKI/VIAB,EOD/VIAB
475,V,Visa Inc.,WIKI/V,EOD/V
476,VNO,Vornado Realty Trust,WIKI/VNO,EOD/VNO
477,VMC,Vulcan Materials,WIKI/VMC,EOD/VMC
478,WMT,Wal-Mart Stores,WIKI/WMT,EOD/WMT
479,WBA,Walgreens Boots Alliance,WIKI/WBA,EOD/WBA
480,DIS,The Walt Disney Company,WIKI/DIS,EOD/DIS
481,WM,Waste Management Inc.,WIKI/WM,EOD/WM
482,WAT,Waters Corporation,WIKI/WAT,EOD/WAT
483,ANTM,Anthem Inc.,WIKI/ANTM,EOD/ANTM
484,WFC,Wells Fargo,WIKI/WFC,EOD/WFC
485,HCN,Welltower Inc.,WIKI/HCN,EOD/HCN
486,WDC,Western Digital,WIKI/WDC,EOD/WDC
487,WU,Western Union Co,WIKI/WU,EOD/WU
488,WY,Weyerhaeuser Corp.,WIKI/WY,EOD/WY
489,WHR,Whirlpool Corp.,WIKI/WHR,EOD/WHR
490,WFM,Whole Foods Market,WIKI/WFM,EOD/WFM
491,WMB,Williams Cos.,WIKI/WMB,EOD/WMB
492,WEC,Wisconsin Energy Corporation,WIKI/WEC,EOD/WEC
493,WYN,Wyndham Worldwide,WIKI/WYN,EOD/WYN
494,WYNN,Wynn Resorts Ltd,WIKI/WYNN,EOD/WYNN
495,XEL,Xcel Energy Inc,WIKI/XEL,EOD/XEL
496,XRX,Xerox Corp.,WIKI/XRX,EOD/XRX
497,XLNX,Xilinx Inc,WIKI/XLNX,EOD/XLNX
498,XL,XL Capital,WIKI/XL,EOD/XL
499,XYL,Xylem Inc.,WIKI/XYL,EOD/XYL
500,YHOO,Yahoo Inc.,WIKI/YHOO,EOD/YHOO
501,YUM,Yum! Brands Inc,WIKI/YUM,EOD/YUM
502,ZBH,Zimmer Biomet Holdings,WIKI/ZBH,EOD/ZBH
503,ZION,Zions Bancorp,WIKI/ZION,EOD/ZION
504,ZTS,Zoetis,WIKI/ZTS,EOD/ZTS
